,title,genres,movie_url
0,Uri: The Surgical Strike,Action|Drama|War,https://upload.wikimedia.org/wikipedia/en/thumb/3/3b/URI_-_New_poster.jpg/220px-URI_-_New_poster.jpg
1,Battalion 609,War,
2,The Accidental Prime Minister (film),Biography|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/The_Accidental_Prime_Minister_film.jpg/220px-The_Accidental_Prime_Minister_film.jpg
3,Why Cheat India,Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Why_Cheat_India_poster.jpg/220px-Why_Cheat_India_poster.jpg
4,Evening Shadows,Drama,
5,Soni (film),Drama,https://upload.wikimedia.org/wikipedia/en/thumb/d/de/Soni_India_Netflix_Movie_Poster.jpg/220px-Soni_India_Netflix_Movie_Poster.jpg
6,Fraud Saiyaan,Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Fraud_Saiyyan_film_poster.jpg/220px-Fraud_Saiyyan_film_poster.jpg
7,Bombairiya,Comedy|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/Bombairiya_poster.jpg/220px-Bombairiya_poster.jpg
8,Manikarnika: The Queen of Jhansi,Action|Biography|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/Manikarnika_Poster.jpg/220px-Manikarnika_Poster.jpg
9,Thackeray (film),Biography|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Thackeray_film_poster.jpeg/220px-Thackeray_film_poster.jpeg
10,Amavas,Horror|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Amavas_official_poster.jpg/220px-Amavas_official_poster.jpg
11,Gully Boy,Drama|Music,https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Gully_Boy_poster.jpg/220px-Gully_Boy_poster.jpg
12,Hum Chaar,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Hum_Chaar_poster.jpg/220px-Hum_Chaar_poster.jpg
13,Total Dhamaal,Action|Adventure|Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Total_Dhamaal_poster.jpg/220px-Total_Dhamaal_poster.jpg
14,Sonchiriya,Action|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/4/46/Sonchiriya_poster.jpg/220px-Sonchiriya_poster.jpg
15,Badla (2019 film),Crime|Drama|Mystery,https://upload.wikimedia.org/wikipedia/en/0/0c/Badla_poster.jpg
16,Mard Ko Dard Nahi Hota,Action|Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/e/ef/Mard_Ko_Dard_Nahi_Hota.jpg/220px-Mard_Ko_Dard_Nahi_Hota.jpg
17,Hamid (film),Drama,https://upload.wikimedia.org/wikipedia/en/thumb/8/87/Hamid_film_poster.jpg/220px-Hamid_film_poster.jpg
18,Photograph (film),Drama|Romance,https://upload.wikimedia.org/wikipedia/en/7/71/Photograph_%282019_poster%29.png
19,Risknamaa,Thriller,
20,Mere Pyare Prime Minister,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/2/24/Mere_Pyare_Prime_Minister_poster.jpg/220px-Mere_Pyare_Prime_Minister_poster.jpg
21,22 Yards,Sport,https://upload.wikimedia.org/wikipedia/en/thumb/f/f2/22_Yards_film_poster.jpeg/220px-22_Yards_film_poster.jpeg
22,Kesari (film),Action|Drama|History,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/Kesari_poster.jpg/220px-Kesari_poster.jpg
23,Notebook (2019 film),Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Notebook_film_poster.jpg/220px-Notebook_film_poster.jpg
24,Junglee (2019 film),Action|Adventure,https://upload.wikimedia.org/wikipedia/en/e/e2/Junglee_film_poster.jpg
25,Gone Kesh,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/d/d1/Gone_Kesh_film_poster.jpg/220px-Gone_Kesh_film_poster.jpg
26,Albert Pinto Ko Gussa Kyun Aata Hai?,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/f/f5/Albert_Pinto_Ko_Gussa_Kyun_Aata_Hai_film_poster.jpg/220px-Albert_Pinto_Ko_Gussa_Kyun_Aata_Hai_film_poster.jpg
27,The Tashkent Files,Drama|Mystery|Thriller,https://upload.wikimedia.org/wikipedia/en/7/79/The_Tashkent_Files_poster.jpg
28,Kalank,Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/Kalank_Poster.jpg/220px-Kalank_Poster.jpg
29,Setters (film),Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/0/08/Setters_Official_Poster.png/220px-Setters_Official_Poster.png
30,Student of the Year 2,Drama|Romance|Sport,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Student_of_the_year_2_Poster.jpg/220px-Student_of_the_year_2_Poster.jpg
31,PM Narendra Modi,Biography|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/PM_Narendra_Modi.jpg/220px-PM_Narendra_Modi.jpg
32,De De Pyaar De,Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/c/c4/De_De_Pyaar_De_Poster.jpg/220px-De_De_Pyaar_De_Poster.jpg
33,India's Most Wanted (film),Action|Thriller,https://upload.wikimedia.org/wikipedia/en/a/ae/India%27s_Most_Wanted_poster.jpg
34,Yeh Hai India,Action|Adventure|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/d/db/Yeh_Hai_India_Official_Poster.jpg/220px-Yeh_Hai_India_Official_Poster.jpg
35,Khamoshi (2019 film),Horror|Thriller,https://upload.wikimedia.org/wikipedia/en/e/ef/Khamoshi_2019.jpg
36,Kabir Singh,Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/d/dc/Kabir_Singh.jpg/220px-Kabir_Singh.jpg
37,Article 15 (film),Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Article_15_Poster.jpg/220px-Article_15_Poster.jpg
38,One Day: Justice Delivered,Action|Crime|Thriller,https://upload.wikimedia.org/wikipedia/en/f/f7/One_Day-_Justice_Delivered.jpg
39,Hume Tumse Pyaar Kitna,Action|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Hume_Tumse_Pyaar_Kitna.jpg/220px-Hume_Tumse_Pyaar_Kitna.jpg
40,Super 30 (film),Biography|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Super_30_The_Film.jpg/220px-Super_30_The_Film.jpg
41,Family of Thakurganj,Action|Drama,https://upload.wikimedia.org/wikipedia/en/9/99/Family_of_Thakurganj.jpg
42,Batla House,Action|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/e/ed/Batla_House_poster.jpg
43,Jhootha Kahin Ka,Comedy,https://upload.wikimedia.org/wikipedia/en/a/a6/Jhootha_Kahin_Ka_Poster.jpg
44,Judgementall Hai Kya,Comedy|Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/c/c8/Judgementall_Hai_Kya_poster.jpg
45,Chicken Curry Law,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Chicken_Curry_Law_Poster.jpg/220px-Chicken_Curry_Law_Poster.jpg
46,Arjun Patiala,Action|Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/8/83/Arjun_Patiala_poster.jpg/220px-Arjun_Patiala_poster.jpg
47,Jabariya Jodi,Action|Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/9/97/Jabariya_Jodi_poster.jpg
48,Pranaam,Action|Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/0/09/Pranaam_poster.jpg/220px-Pranaam_poster.jpg
49,The Sky Is Pink,Drama|Family|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/9/93/The_Sky_Is_Pink.jpg/220px-The_Sky_Is_Pink.jpg
50,Mission Mangal,Drama|History,https://upload.wikimedia.org/wikipedia/en/thumb/b/b7/Mission_Mangal.jpg/220px-Mission_Mangal.jpg
51,Saaho,Action|Thriller,https://upload.wikimedia.org/wikipedia/en/6/6b/Saaho_poster.jpg
52,Dream Girl (2019 film),Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/6/6e/Dream_Girl.png/220px-Dream_Girl.png
53,Section 375,Crime|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Section_375_poster.jpg/220px-Section_375_poster.jpg
54,The Zoya Factor (film),Comedy|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/The_Zoya_Factor_poster.jpg/220px-The_Zoya_Factor_poster.jpg
55,Pal Pal Dil Ke Paas,Action|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/6/66/Pal_Pal_Dil_Ke_Pass_poster.jpg/220px-Pal_Pal_Dil_Ke_Pass_poster.jpg
56,Prassthanam,Action|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Prassthanam_poster.jpg/220px-Prassthanam_poster.jpg
57,P Se Pyaar F Se Faraar,Crime|Drama|Romance,https://upload.wikimedia.org/wikipedia/en/7/74/P_Se_Pyaar_F_Se_Faraar_poster.jpg
58,Ghost (2019 film),Horror|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Ghost_Film_Poster.jpg/220px-Ghost_Film_Poster.jpg
59,Bala (2019 film),Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/9/99/Bala_Film_Poster.jpg/220px-Bala_Film_Poster.jpg
60,Yaaram (2019 film),Comedy|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Yaaram_film_poster.jpg/220px-Yaaram_film_poster.jpg
61,Housefull 4,Action|Comedy|Fantasy,https://upload.wikimedia.org/wikipedia/en/thumb/3/3c/Housefull_4_poster.jpg/220px-Housefull_4_poster.jpg
62,Saand Ki Aankh,Biography|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Saand_Ki_Aankh_poster.jpg/220px-Saand_Ki_Aankh_poster.jpg
63,Made in China (2019 film),Comedy|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Made_In_China_poster.jpg/220px-Made_In_China_poster.jpg
64,Ujda Chaman,Comedy,https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Ujda_Chaman_Film_Poster.jpg/220px-Ujda_Chaman_Film_Poster.jpg
65,Bypass Road (film),Drama|Thriller,https://upload.wikimedia.org/wikipedia/en/thumb/b/b3/Bypass_Road_Film.jpg/220px-Bypass_Road_Film.jpg
66,Satellite Shankar,Action|Drama,https://upload.wikimedia.org/wikipedia/en/thumb/2/25/Satellite_Shankar_poster.jpg/220px-Satellite_Shankar_poster.jpg
67,Jhalki,Drama,https://upload.wikimedia.org/wikipedia/en/thumb/e/e3/Jhalki_Movie_Official_Poster.jpg/220px-Jhalki_Movie_Official_Poster.jpg
68,Marjaavaan,Action|Romance,https://upload.wikimedia.org/wikipedia/en/thumb/c/c2/Marjaavaan_poster.jpg/220px-Marjaavaan_poster.jpg
